Benchmark                          ,    Min(us)    ,    Avg(us)    ,    Max(us)    
schnorrsig_batch_verify_3308       ,    23.2       ,    23.7       ,    24.8    
schnorrsig_batch_verify_3970       ,    23.2       ,    23.6       ,    24.8    
schnorrsig_batch_verify_4765       ,    23.2       ,    23.6       ,    24.8    
schnorrsig_batch_verify_5719       ,    23.2       ,    23.5       ,    24.4    
schnorrsig_batch_verify_6863       ,    23.2       ,    23.4       ,    24.3    
schnorrsig_batch_verify_8236       ,    23.2       ,    23.4       ,    24.1    
schnorrsig_batch_verify_9884       ,    23.2       ,    23.5       ,    24.0    
schnorrsig_batch_verify_11861      ,    23.2       ,    23.3       ,    23.8    
schnorrsig_batch_verify_14234      ,    23.2       ,    23.4       ,    23.8    
schnorrsig_batch_verify_17081      ,    23.2       ,    23.4       ,    23.8    
